序号,机构名称,地址,电话号码,longitude,latitude,formatted_address,match_level
1,成都市新都区中医医院,成都市新都区新都街道香樟路120号,02883972217,104.169598,30.809761,四川省成都市新都区新都街道香樟路120号,门址
2,成都市新都区第二人民医院,成都市新都区新繁街道繁锦路99号,02883080102,104.010391,30.860561,四川省成都市新都区新繁街道,乡镇
3,成都市新都区妇幼保健院,成都市新都区新都镇新都大道309号,02883046760,104.188064,30.819353,四川省成都市新都区新都镇新都大道309号,门址
4,成都市新都区人民医院,成都市新都区新都街道育英路南段199号、成都市新都区桂湖街道上南街101号,0288399308902883972235,104.1632,30.825126,四川省成都市新都区新都街道桂湖街道上南街101号,门址
5,成都市新都区新都街道龙虎社区卫生服务中心,新都区新都街道龙虎场桂光路16号,02867327285,104.225789,30.835407,四川省成都市新都区新都街道龙虎场桂光街16号,门址
6,成都市新都区新繁街道社区卫生服务中心,成都市新都区新繁镇正南街92号,02867357727,104.019628,30.871304,四川省成都市新都区新繁镇正南街92号,门址
7,成都市新都区石板滩街道木兰社区卫生服务中心,成都市新都区石板滩街道门坎坡社区11组208号,02883028849,104.272582,30.732245,四川省成都市新都区石板滩街道东风社区,村庄
8,成都市新都区桂湖街道城东社区卫生服务中心,成都市新都区桂湖街道东环路40号,02883975866,104.165762,30.828535,四川省成都市新都区桂湖街道东环路40号,门址
9,成都市新都区清流镇卫生院,成都市新都区清流镇清渔街498号  ,02883074015,104.037866,30.936044,四川省成都市新都区清流镇清渔街498号,门牌号
10,成都市新都区石板滩街道社区卫生服务中心,新都区石板滩街道东风东街53号,02860327067,104.274738,30.727345,四川省成都市新都区石板滩街道东风东街53号,门址
11,成都市新都区第三人民医院,新都区大丰街道崇义桥街468号,02883911257,104.054763,30.770594,四川省成都市新都区大丰街道崇义桥街468号,门址
12,成都市新都区新繁街道龙桥社区卫生服务中心,成都市新都区新繁街道龙桥南街209号,02860323552,104.027863,30.814684,四川省成都市新都区新繁街道龙桥南街(公交站),公交地铁站点
13,成都市新都区三河街道社区卫生服务中心,成都市新都区三河街道办事处互江路247号,02868901335,104.139235,30.779359,四川省成都市新都区三河街道互江路247号,门址
14,成都市新都区军屯镇中心卫生院,成都市新都区军屯镇新河东街89号、成都市新都区军屯镇屯军街155号,02882081890,104.155596,30.894875,四川省成都市新都区军屯镇屯军街155号,门牌号
15,成都市新都区斑竹园街道社区卫生服务中心,成都市新都区斑竹园街道五一街77号、新都区斑竹园街道普利大道二段161号,02867327168,104.125013,30.856175,四川省成都市新都区斑竹园街道普利大道二段161号,门址
16,成都市新都区桂湖街道城西社区卫生服务中心,成都市新都区桂湖街道惠民路199号,02883966924,104.14336,30.81297,四川省成都市新都区桂湖街道惠民路199号,门址
17,成都市新都区新都街道蜀都社区卫生服务中心,成都市新都区新都街道天香南路60号,02864095801,104.18224,30.814752,四川省成都市新都区新都街道天香南路60号,门址
18,成都市新都区大丰街道太平社区卫生服务中心,成都市新都区大丰街道太平碑路166号,02883911675,104.087028,30.758739,四川省成都市新都区大丰街道太平碑,村庄
19,成都市新都区大丰街道丰安社区卫生服务中心,成都市新都区大丰街道高堆路326号,02869338685,104.046729,30.763813,四川省成都市新都区大丰街道高堆路326号,门牌号
